fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CricketX,0.8282051282051283,0.8410256410256409,0.8282051282051283,0.8333333333333334,0.8358974358974359,0.8256410256410256,0.8179487179487179,0.8435897435897436,0.8435897435897436,0.8128205128205128,0.8179487179487179,0.8538461538461538,0.8641025641025641,0.8410256410256409,0.8307692307692308,0.8641025641025641,0.8615384615384616,0.8461538461538461,0.8076923076923077,0.8692307692307693,0.8102564102564103,0.8256410256410256,0.8307692307692308,0.8333333333333334,0.8256410256410256,0.8410256410256409,0.8410256410256409,0.8435897435897436,0.8333333333333334,0.8205128205128205
CricketY,0.8461538461538461,0.823076923076923,0.8487179487179487,0.8358974358974359,0.8333333333333334,0.8358974358974359,0.823076923076923,0.8435897435897436,0.8692307692307693,0.8461538461538461,0.8589743589743589,0.8717948717948718,0.8589743589743589,0.8307692307692308,0.8820512820512819,0.8025641025641026,0.8717948717948718,0.8769230769230769,0.8333333333333334,0.8538461538461538,0.8538461538461538,0.8589743589743589,0.8666666666666667,0.8589743589743589,0.8538461538461538,0.8615384615384616,0.8461538461538461,0.8307692307692308,0.8666666666666667,0.8512820512820513
CricketZ,0.8358974358974359,0.8179487179487179,0.8615384615384616,0.8461538461538461,0.8692307692307693,0.8589743589743589,0.8666666666666667,0.8769230769230769,0.8641025641025641,0.8102564102564103,0.8435897435897436,0.8589743589743589,0.8256410256410256,0.8717948717948718,0.8461538461538461,0.8282051282051283,0.8615384615384616,0.8717948717948718,0.8615384615384616,0.8717948717948718,0.8794871794871795,0.8435897435897436,0.8615384615384616,0.8384615384615385,0.8666666666666667,0.8282051282051283,0.8615384615384616,0.8179487179487179,0.8307692307692308,0.8589743589743589
Crop,0.7491071428571429,0.7508333333333334,0.7513095238095238,0.7482738095238095,0.7549404761904762,0.7497023809523811,0.7515476190476189,0.7549404761904762,0.7527380952380952,0.7536309523809523,0.7520238095238095,0.7511309523809524,0.7498214285714285,0.7566071428571428,0.7513095238095238,0.7529166666666667,0.7527380952380952,0.7531547619047619,0.7521428571428571,0.7575,0.7498214285714285,0.7508333333333334,0.7526785714285714,0.7507738095238096,0.7538690476190476,0.7570238095238095,0.7519047619047619,0.7482142857142857,0.7544047619047619,0.7571428571428571
DiatomSizeReduction,0.9509803921568628,0.9052287581699346,0.8921568627450981,0.8823529411764706,0.9411764705882352,0.5098039215686274,0.937908496732026,0.3758169934640523,0.4411764705882353,0.2810457516339869,0.8888888888888888,0.9052287581699346,0.3464052287581699,0.9215686274509804,0.9183006535947712,0.6928104575163399,0.9084967320261438,0.25163398692810457,0.9673202614379084,0.8954248366013072,0.9084967320261438,0.4183006535947713,0.5424836601307189,0.9607843137254902,0.8921568627450981,0.4117647058823529,0.26143790849673204,0.9607843137254902,0.9607843137254902,0.9607843137254902
DistalPhalanxOutlineAgeGroup,0.7697841726618705,0.8273381294964028,0.8057553956834532,0.8705035971223022,0.7553956834532374,0.7697841726618705,0.8489208633093526,0.8057553956834532,0.7482014388489209,0.7913669064748201,0.7985611510791367,0.8201438848920863,0.8417266187050358,0.7985611510791367,0.8417266187050358,0.8273381294964028,0.8129496402877698,0.8345323741007195,0.8201438848920863,0.8273381294964028,0.7769784172661871,0.8129496402877698,0.7697841726618705,0.8201438848920863,0.7913669064748201,0.8345323741007195,0.8129496402877698,0.8633093525179856,0.8561151079136691,0.8345323741007195
DistalPhalanxOutlineCorrect,0.7608695652173914,0.8188405797101449,0.8442028985507246,0.8043478260869565,0.8297101449275363,0.8804347826086957,0.8442028985507246,0.8115942028985508,0.8260869565217391,0.8514492753623188,0.8405797101449275,0.8442028985507246,0.8442028985507246,0.8768115942028986,0.822463768115942,0.822463768115942,0.855072463768116,0.8152173913043478,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8442028985507246,0.8079710144927537,0.8514492753623188,0.8405797101449275,0.8333333333333334,0.8043478260869565,0.8405797101449275,0.822463768115942,0.8405797101449275
DistalPhalanxTW,0.7122302158273381,0.7050359712230215,0.7194244604316546,0.7482014388489209,0.7194244604316546,0.6906474820143885,0.6834532374100719,0.7410071942446043,0.7122302158273381,0.6906474820143885,0.6618705035971223,0.7050359712230215,0.6258992805755396,0.6834532374100719,0.6906474820143885,0.6906474820143885,0.7194244604316546,0.7050359712230215,0.7266187050359713,0.7122302158273381,0.7122302158273381,0.7050359712230215,0.6618705035971223,0.7266187050359713,0.6978417266187049,0.6906474820143885,0.7050359712230215,0.6906474820143885,0.6834532374100719,0.7050359712230215
ECG200,0.89,0.89,0.89,0.91,0.9,0.89,0.89,0.9,0.94,0.88,0.89,0.88,0.89,0.88,0.88,0.89,0.86,0.89,0.91,0.86,0.85,0.89,0.88,0.9,0.88,0.91,0.87,0.93,0.88,0.91
ECG5000,0.9482222222222222,0.9477777777777778,0.9491111111111112,0.9495555555555556,0.9455555555555556,0.9497777777777778,0.9464444444444444,0.9435555555555556,0.9497777777777778,0.9466666666666668,0.9462222222222222,0.9433333333333334,0.9515555555555556,0.9420000000000001,0.9491111111111112,0.9468888888888888,0.9475555555555556,0.95,0.9444444444444444,0.9491111111111112,0.9504444444444444,0.9484444444444444,0.9448888888888888,0.9471111111111112,0.9473333333333334,0.9466666666666668,0.948,0.9448888888888888,0.95,0.946
ECGFiveDays,1.0,1.0,0.9976771196283392,0.9965156794425089,0.9930313588850174,0.9965156794425089,0.9976771196283392,1.0,1.0,1.0,0.9988385598141696,0.9988385598141696,0.9605110336817654,0.9883855981416956,0.9988385598141696,0.9988385598141696,0.9976771196283392,0.9988385598141696,1.0,0.9965156794425089,0.9976771196283392,0.9976771196283392,0.9976771196283392,0.9988385598141696,1.0,0.9988385598141696,0.9976771196283392,1.0,1.0,0.9976771196283392
EOGHorizontalSignal,0.6464088397790055,0.8259668508287292,0.8370165745856354,0.8618784530386742,0.8646408839779005,0.8397790055248618,0.8563535911602209,0.8480662983425414,0.8480662983425414,0.8839779005524862,0.8508287292817679,0.8480662983425414,0.8480662983425414,0.8425414364640884,0.8618784530386742,0.8895027624309392,0.8425414364640884,0.8535911602209945,0.8259668508287292,0.8535911602209945,0.8287292817679558,0.8646408839779005,0.8425414364640884,0.8508287292817679,0.8453038674033149,0.8453038674033149,0.8314917127071824,0.8453038674033149,0.8149171270718232,0.8618784530386742
EOGVerticalSignal,0.5193370165745856,0.7955801104972375,0.8038674033149171,0.7928176795580111,0.8121546961325967,0.8038674033149171,0.8149171270718232,0.7900552486187845,0.8038674033149171,0.7900552486187845,0.8149171270718232,0.8011049723756906,0.8121546961325967,0.8149171270718232,0.8011049723756906,0.7928176795580111,0.8176795580110497,0.8038674033149171,0.8287292817679558,0.7983425414364641,0.7845303867403315,0.8038674033149171,0.8149171270718232,0.8066298342541437,0.8204419889502762,0.8038674033149171,0.7845303867403315,0.8121546961325967,0.8121546961325967,0.8066298342541437
